2016/6/7 99999999  Coffee shop  48  0
2016/6/7 99999999  Coffee shop  48  0
2016/6/7 99999999  Coffee shop  48  0
2016/6/7 99999999  Coffee shop  48  0 
2016/6/7 99999999  Coffee shop  48  0 
2016/6/7 99999999  Coffee shop  48  0 
2016/6/7 99999999  Shoes shop  500  0 
2016/6/7 99999999  book shoop  300  0 
2016/6/7 99999999  Coffee shop  -100000000  0 
2016/6/7 99999999  Coffee shop  -10000000000  0 
2016/6/7 99999999  cachin  -200000000  0 
2016/6/7 99999999  takecash  10400078881  5.0 
2016/6/7 99999999  Coffee shop  48  0 
2016/6/7 99999999  Coffee shop  48  0 
2016/6/7 88888888  Coffee shop  48  0 
2016/6/7 89537188  Coffee shop  48  0 
2016/6/7 89537188  Shoes shop  500  0 
2016/6/7 88888888  Coffee shop  48  0 
2016/6/7 89537188  Coffee shop  48  0 
2016/6/8 88888888  Shoes shop  500  0 
2016/6/8 88888888  book shoop  300  0 
2016/6/8 88888888  cachin  -500  0 
2016/6/8 88888888  takecash  10500  5.0 
